Event,Type,Name
222,ao5,2x2
333,ao5,3x3
444,ao5,4x4
555,ao5,5x5
333oh,ao5,OH
clock,ao5,Clock
minx,ao5,Megaminx
pyram,ao5,Pyraminx
skewb,ao5,Skewb
sq1,ao5,Square-1
666,mo3,6x6
777,mo3,7x7
333bf,mo3,3BLD
444bf,mo3,4BLD
555bf,mo3,5BLD
